AC,PRICE,LIVING_GBA,LATITUDE,LONGITUDE,WARD,QUADRANT
Y,660000,NA,38.91824997,-77.03892072,Ward 1,NW
Y,681000,NA,38.9144386,-77.02725309,Ward 1,NW
Y,742000,NA,38.91647458,-77.03736020000001,Ward 2,NW
Y,409000,NA,38.90172175,-77.05226387,Ward 2,NW
Y,410000,NA,38.90174868,-77.05226561,Ward 2,NW
Y,1149000,NA,38.90776887,-77.02548043,Ward 2,NW
Y,580000,NA,38.9195731,-77.02867134,Ward 1,NW
Y,95000,NA,38.88548855,-77.00469966,Ward 6,SE
Y,349990,NA,38.90351105,-77.00076978,Ward 6,NE
Y,370000,NA,38.89866744,-77.0007665,Ward 6,NE
Y,515000,NA,38.89860402,-77.00075012,Ward 6,NE
Y,499000,NA,38.90194789,-77.00283463,Ward 6,NE
Y,425000,NA,38.88206272,-76.99693565,Ward 6,SE
N,566000,NA,38.88808458,-77.00140805,Ward 6,SE
Y,95000,NA,38.89679333,-76.99800052,Ward 6,NE
Y,500000,NA,38.89874054,-76.9941741,Ward 6,NE
Y,65000,NA,38.90114524,-76.994419,Ward 6,NE
Y,499000,NA,38.89593936,-76.99562461,Ward 6,NE
Y,449000,NA,38.89796375,-76.9913269,Ward 6,NE
Y,515000,NA,38.89067997,-76.99471767,Ward 6,NE
Y,570000,NA,38.9032493,-76.99396967,Ward 6,NE
Y,495000,NA,38.881846,-76.99178237,Ward 6,SE
Y,509000,NA,38.89324822,-76.98574801,Ward 6,NE
N,378000,NA,38.89341565,-76.9862094,Ward 6,NE
Y,112500,NA,38.87872839,-76.98873766,Ward 6,SE
Y,501000,NA,38.87872857,-76.98869272,Ward 6,SE
N,45000,NA,38.88591327,-76.98937253,Ward 6,SE
Y,607000,NA,38.90931279,-77.06697579,Ward 2,NW
Y,824000,NA,38.90455917,-77.05931566,Ward 2,NW
Y,1060000,NA,38.90856908,-77.07000195,Ward 2,NW
Y,560000,NA,38.90353668,-77.06332636,Ward 2,NW
Y,564000,NA,38.90353583,-77.06341167,Ward 2,NW
Y,515000,NA,38.90353506,-77.06349537,Ward 2,NW
Y,3875000,NA,38.9082538,-77.06659352,Ward 2,NW
Y,535000,NA,38.90920644,-77.05649982,Ward 2,NW
Y,1950000,NA,38.92788328,-77.10633602,Ward 3,NW
Y,575000,NA,38.95022231,-77.08137729,Ward 3,NW
Y,437000,NA,38.95315498,-77.07973549,Ward 3,NW
N,495000,NA,38.96544505,-77.07852279,Ward 3,NW
Y,4275000,NA,38.92561763,-77.06183879999999,Ward 3,NW
Y,1700000,NA,38.91441064,-77.06601242,Ward 2,NW
N,585000,NA,38.93081406,-77.0420187,Ward 1,NW
N,133000,NA,38.96970475,-77.02468096,Ward 4,NW
Y,340000,NA,38.93688338,-77.02105145,Ward 1,NW
Y,179500,NA,38.92806801,-77.02215484,Ward 1,NW
N,108000,NA,38.95101815,-76.99136774,Ward 5,NE
Y,147500,NA,38.93873097,-76.97648044,Ward 5,NE
Y,122000,NA,38.9021281,-76.93448724,Ward 7,NE
Y,220000,NA,38.90441817,-76.9352193,Ward 7,NE
N,89900,NA,38.90518212,-76.93291487,Ward 7,NE
Y,117000,NA,38.90191486,-76.93026316,Ward 7,NE
Y,150000,NA,38.90103122,-76.92402591,Ward 7,NE
Y,124300,NA,38.9032162,-76.92905068,Ward 7,NE
N,84000,NA,38.88421747,-76.96052064,Ward 7,SE
Y,275000,NA,38.87219851,-76.96832929,Ward 7,SE
